FECHA; GERENCIA CAM; SUB GERENCIA CAM; AREA DE CAM; EMPRESA CONTRATISTA; Nº ENC; Q NC; N IPAL
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 1; 50
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "SILVA & CIA"; 1; 0; 60
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Telemedida y Automatizacion"; "Eléctrica"; "MCH SERVICIOS ELECTRICOS"; 1; 0; 0
05-2014; "Servicios de Negocios"; "Servicios de Negocios"; "Logística"; "SOSIAS"; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "SOT (Civil - Electrico)"; "CAM Chile S.A"; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "SOT (Civil - Electrico)"; "CAM Chile S.A"; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "SOT (Civil - Electrico)"; "CAM Chile S.A"; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "SILVA & CIA"; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "SILVA & CIA"; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 40
05-2014; "Gerencia Operaciones"; "Telemedida y Automatizacion"; "Eléctrica"; "CAM Chile S.A"; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Telemedida y Automatizacion"; "Eléctrica"; "MCH SERVICIOS ELECTRICOS"; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Construccion OOEE y OOCC"; " -- SIN CONTRATISTA -- "; 1; 2; 120
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "SOT (Civil - Electrico)"; "CAM Chile S.A"; 1; 0; 60
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "SOT (Civil - Electrico)"; "CAM Chile S.A"; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "SILVA & CIA"; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Servicios de Negocios"; "Servicios de Negocios"; "Logística"; "SOSIAS"; 1; 0; 0
05-2014; "Servicios de Negocios"; "Servicios de Negocios"; "Logística"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Tecnicas"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Servicios de Negocios"; "Servicios de Negocios"; "Logística"; "CAM Chile S.A"; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Tecnicas"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 1; 70
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "CAM Chile S.A"; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "SILVA & CIA"; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "SILVA & CIA"; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Telemedida y Automatizacion"; "Eléctrica"; "CODEL"; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Telemedida y Automatizacion"; "Eléctrica"; "CODEL"; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 40
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Servicios de Negocios"; "Servicios de Negocios"; "Logística"; "SOSIAS"; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "SOT (Civil - Electrico)"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 40
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0
03-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
03-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 60
01-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 1; 50
05-2009; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0
05-2009; "Gerencia Operaciones"; "Operaciones Tecnicas"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 2; 100
05-2009; "Servicios de Negocios"; "Servicios de Negocios"; "Logística"; " -- SIN CONTRATISTA -- "; 1; 0; 60
05-2009; "Gerencia Operaciones"; "Operaciones Tecnicas"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 1; 50
01-2009; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "IVAN VASQUEZ"; 1; 1; 50
01-2009; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 3; 100
01-2009; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "SOT (Civil - Electrico)"; " -- SIN CONTRATISTA -- "; 1; 0; 0
